"year","quarter","area_fips","area_title","quarterly_establishments","month_3_employment","month_3_employment_percent_change_oty","average_weekly_wages","average_weekly_wages_percent_change_oty"
"2003","2","US000","United States","8232500","129169400","-0.5","702","2.2"
"2003","2","01000","Alabama","110400","1828100","-0.6","602","2.7"
"2003","2","02000","Alaska","19400","305700","1.9","723","2.3"
"2003","2","04000","Arizona","123800","2221900","0.7","673","3.2"
"2003","2","05000","Arkansas","74800","1123300","-0.9","546","2.1"
"2003","2","06000","California","1145600","15065000","-0.1","790","2.3"
"2003","2","08000","Colorado","159700","2144600","-2.2","724","2.3"
"2003","2","09000","Connecticut","108800","1652300","-1.6","874","2.7"
"2003","2","10000","Delaware","26500","408900","0.4","748","2.9"
"2003","2","11000","District of Columbia","29400","651600","-0.6","1150","5.0"
"2003","2","12000","Florida","494000","7181100","1.2","630","2.9"
"2003","2","13000","Georgia","242100","3790500","-1.0","684","2.1"
"2003","2","15000","Hawaii","36800","569600","0.9","635","3.6"
"2003","2","16000","Idaho","49200","590500","0.7","538","2.1"
"2003","2","17000","Illinois","323700","5773800","-1.4","751","1.5"
"2003","2","18000","Indiana","152000","2839700","-0.5","623","1.6"
"2003","2","19000","Iowa","89700","1428300","-1.1","572","2.7"
"2003","2","20000","Kansas","82000","1298400","-2.2","591","1.2"
"2003","2","21000","Kentucky","106000","1727500","-0.5","608","2.7"
"2003","2","22000","Louisiana","116600","1867200","0.0","579","2.1"
"2003","2","23000","Maine","46900","605500","-0.7","569","3.1"
"2003","2","24000","Maryland","149900","2470000","0.3","761","3.1"
"2003","2","25000","Massachusetts","203200","3200100","-2.2","849","1.6"
"2003","2","26000","Michigan","251400","4399700","-1.5","728","2.0"
"2003","2","27000","Minnesota","157600","2631600","-0.1","723","2.7"
"2003","2","28000","Mississippi","64900","1095500","-1.7","521","3.0"
"2003","2","29000","Missouri","165800","2655300","-0.4","639","2.1"
"2003","2","30000","Montana","42000","404900","1.1","521","3.8"
"2003","2","31000","Nebraska","54900","887500","-0.4","565","3.5"
"2003","2","32000","Nevada","57300","1077200","2.8","658","3.6"
"2003","2","33000","New Hampshire","46300","614700","0.1","692","2.2"
"2003","2","34000","New Jersey","263200","3935700","-0.1","850","2.7"
"2003","2","35000","New Mexico","50800","755200","1.1","579","1.6"
"2003","2","36000","New York","549800","8347600","-0.7","851","1.8"
"2003","2","37000","North Carolina","224600","3728600","-1.1","621","1.0"
"2003","2","38000","North Dakota","23800","319100","0.6","516","3.4"
"2003","2","39000","Ohio","292600","5348400","-0.9","654","2.2"
"2003","2","40000","Oklahoma","91500","1404400","-3.1","566","4.2"
"2003","2","41000","Oregon","116100","1586400","-1.1","651","1.4"
"2003","2","42000","Pennsylvania","324200","5548300","-0.6","689","2.8"
"2003","2","44000","Rhode Island","34500","482200","0.8","671","3.4"
"2003","2","45000","South Carolina","123500","1786800","-0.3","578","1.9"
"2003","2","46000","South Dakota","27800","374900","0.1","507","3.3"
"2003","2","47000","Tennessee","127800","2611700","-0.2","628","1.9"
