"year","quarter","area_fips","ownership","industry_code","area_title","industry_title","quarterly_establishments","month_3_employment","month_3_employment_percent_change_oty","average_weekly_wages","average_weekly_wages_percent_change_oty"
"2003","2","US000","0","10","United States","Total, All Industries","8232500","129169400","-0.5","702","2.2"
"2003","2","US000","5","10","United States","Private industry","7966500","108223100","-0.7","691","2.1"
"2003","2","US000","5","1011","United States","Natural resources and mining","124300","1798800","0.2","617","2.2"
"2003","2","US000","5","1012","United States","Construction","801800","6855500","-0.4","733","1.1"
"2003","2","US000","5","1013","United States","Manufacturing","380400","14546700","-5.2","851","2.4"
"2003","2","US000","5","1021","United States","Trade, transportation, and utilities","1856900","25042200","-1.0","617","2.0"
"2003","2","US000","5","1022","United States","Information","146900","3187600","-6.0","1069","3.0"
"2003","2","US000","5","1023","United States","Financial activities","759000","7884400","1.8","996","3.5"
"2003","2","US000","5","1024","United States","Professional and business services","1317200","15946200","-0.9","829","2.0"
"2003","2","US000","5","1025","United States","Education and health services","723500","15714000","2.5","654","3.2"
"2003","2","US000","5","1026","United States","Leisure and hospitality","663900","12657000","0.9","299","1.7"
"2003","2","US000","5","1027","United States","Other services","1047400","4344200","0.2","458","2.2"
"2003","2","US000","8","10","United States","Government","266000","20946300","0.5","761","3.3"
"2003","2","06037","0","10","Los Angeles, CA","Total, All Industries","340700","4060400","-0.3","789","2.9"
"2003","2","06037","5","10","Los Angeles, CA","Private industry","336900","3461000","0.1","768","2.7"
"2003","2","06037","5","1011","Los Angeles, CA","Natural resources and mining","600","12100","0.9","865","11.9"
"2003","2","06037","5","1012","Los Angeles, CA","Construction","12800","134800","1.2","775","-1.9"
"2003","2","06037","5","1013","Los Angeles, CA","Manufacturing","18100","503700","-6.8","787","1.8"
"2003","2","06037","5","1021","Los Angeles, CA","Trade, transportation, and utilities","53500","767100","-0.5","686","3.2"
"2003","2","06037","5","1022","Los Angeles, CA","Information","9200","199300","-4.2","1298","3.8"
"2003","2","06037","5","1023","Los Angeles, CA","Financial activities","22700","236100","1.3","1151","2.0"
